NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TPG
Joel Embiid,Philadelphia 76ers,C-F,29.1,66,34.6,37.1,771,0.857,1128,0.587,200,0.33,33.1,10.2,4.2,1,1.7,3.4
Luka Doncic,Dallas Mavericks,F-G,24.1,66,36.2,37.7,694,0.742,908,0.588,541,0.342,32.4,8.6,8,1.4,0.5,3.6
DaMiami Heatn Lillard,Portland Trail Blazers,G,32.7,58,36.3,33.9,558,0.914,544,0.574,658,0.371,32.2,4.8,7.3,0.9,0.3,3.3
Shai Gilgeous-Alexander,Oklahoma City Thunder,G-F,24.7,68,35.5,32.8,739,0.905,1213,0.533,168,0.345,31.4,4.8,5.5,1.6,1,2.8
Giannis Antetokounmpo,Milwaukee Bucks,F,28.3,63,32.1,38.8,772,0.645,1108,0.596,171,0.275,31.1,11.8,5.7,0.8,0.8,3.9
Jayson Tatum,Boston Celtics,F-G,25.1,74,36.9,32.7,622,0.854,873,0.558,686,0.35,30.1,8.8,4.6,1.1,0.7,2.9
Kevin Durant,Phoenix Suns,F,34.5,39,36,31.5,285,0.937,545,0.622,189,0.376,29.7,6.7,5.3,0.8,1.5,3.5
Stephen Curry,Golden State Warriors,G,35.1,55,34.9,31,278,0.914,489,0.577,629,0.426,29.5,6.1,6.3,0.9,0.4,3.2
LeBrooklyn Netsn James,Los Angeles Lakers,F,38.3,54,35.6,33.3,325,0.766,830,0.582,363,0.311,28.8,8.3,6.8,0.9,0.6,3.3
Donovan Mitchell,Cleveland Cavaliers,G,26.6,68,35.8,32.1,368,0.867,767,0.566,635,0.386,28.3,4.3,4.4,1.5,0.4,2.6
Devin Booker,Phoenix Suns,G,26.4,53,34.6,31.8,358,0.855,751,0.554,316,0.351,27.8,4.5,5.5,1,0.3,2.7
Mikal Bridges,Brooklyn Nets,F,26.6,26,35.5,30.3,179,0.894,322,0.531,181,0.376,27.2,4.7,2.8,1,0.6,1.9
Kyrie Irving,Brooklyn Nets,G,31,40,36.9,29.7,179,0.883,471,0.569,348,0.374,27.1,5.1,5.3,1,0.8,2.3
Kyrie Irving,Dallas Mavericks,G,31,20,38.1,27.5,94,0.947,236,0.585,148,0.392,27,5,6,1.3,0.6,1.9
Jaylen Brooklyn Netswn,Boston Celtics,G-F,26.5,67,35.9,31.5,344,0.765,896,0.576,487,0.335,26.6,6.9,3.5,1.1,0.4,2.9
Ja Morant,Memphis Grizzlies,G,23.7,61,31.9,34.9,497,0.748,914,0.519,300,0.307,26.2,5.9,8.1,1.1,0.3,3.4
Trae Young,Atlanta Hawks,G,24.6,73,34.8,32.6,639,0.886,930,0.476,460,0.335,26.2,3,10.2,1.1,0.1,4.1
Anthony Davis,Los Angeles Lakers,F-C,30.1,55,34,28.5,442,0.783,874,0.59,74,0.257,26.1,12.5,2.6,1,2,2.1
Kevin Durant,Phoenix Suns,F,34.5,8,33.7,26.8,48,0.833,87,0.586,41,0.537,26,6.4,3.5,0.3,1.3,2.5
Zion Williamson,New Orleans Pelicans,F,22.8,29,33,30.4,248,0.714,450,0.618,19,0.368,26,7,4.6,1.1,0.6,3.4
Lauri Markkanen,Utah Jazz,F-C,25.9,66,34.4,26.6,399,0.875,634,0.585,511,0.391,25.6,8.6,1.9,0.6,0.6,1.9
De'Aaron Fox,Sacramento Kings,G,25.3,72,33.6,30.1,440,0.78,958,0.582,363,0.325,25.2,4.2,6.2,1.2,0.3,2.5
Julius Randle,New York Knicks,F-C,28.4,77,35.5,29.5,531,0.757,796,0.553,636,0.343,25.1,10,4.1,0.6,0.3,2.8
Zach LaVine,Chicago Bulls,G-F,28.1,76,36.1,28.3,424,0.847,834,0.556,539,0.377,24.9,4.5,4.3,0.9,0.2,2.5
DeMar DeRozan,Chicago Bulls,G-F,33.7,73,36.4,27.8,522,0.872,1150,0.526,138,0.326,24.7,4.7,5.1,1.1,0.5,2.1
Anthony Edwards,Minnesota Timberwolves,G,21.7,78,35.9,29.8,409,0.763,951,0.514,570,0.368,24.6,5.7,4.4,1.6,0.7,3.2
Nikola Jokic,Denver Nuggets,C,28.1,69,33.7,27.2,415,0.822,873,0.675,149,0.383,24.5,11.8,9.8,1.3,0.7,3.6
Brandon Ingram,New Orleans Pelicans,F,25.6,44,34,30.6,263,0.878,646,0.503,161,0.391,24.3,5.3,5.8,0.7,0.4,3.3
Pascal Siakam,Toronto Raptors,F,29,71,37.4,27.2,474,0.774,1026,0.523,287,0.324,24.2,7.8,5.8,0.9,0.5,2.4
Jalen Brunson,New York Knicks,G,26.6,68,35,27.3,392,0.829,873,0.519,322,0.416,24,3.5,6.2,0.9,0.2,2.1
Paul George,LA Clippers,F,32.9,56,34.6,29.5,294,0.871,578,0.521,426,0.371,23.8,6.1,5.1,1.5,0.4,3.1
Kawhi Leonard,LA Clippers,F,31.8,51,33.6,26.9,274,0.876,603,0.549,247,0.421,23.8,6.3,3.9,1.4,0.5,1.6
LaMelo Ball,Charlotte Hornets,G,21.6,36,35.2,30,121,0.843,338,0.45,383,0.376,23.3,6.4,8.4,1.3,0.3,3.6
Bradley Beal,Washington Wizards,G,29.8,50,33.5,29.2,228,0.842,659,0.552,219,0.365,23.2,3.9,5.4,0.9,0.7,2.9
