RANK,TEAM,PPG,oPPG,pDIFF,PACE,oEFF,dEFF,eDIFF,SOS,rSOS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,CITY,COMP_area
1,Milwaukee Bucks,117.1,113.2,3.9,100.5,115.6,111.8,3.8,-0.51,4.5,3.29,15,0.087,58,23,0.716,0.6,0.628,0.116,Milwaukee,Central
2,Boston Celtics,117.9,111.4,6.5,98.4,118,111.5,6.5,-0.83,-1.5,5.67,14.4,0.062,56,25,0.691,0.674,0.714,0.017,Boston,Atlantic
3,Philadelphia 76ers,115,111,4,96.7,117.6,113.5,4.1,0.07,3.9,4.17,13.1,0.021,53,28,0.654,0.623,0.632,0.031,Philadelphia,Atlantic
4,Cleveland Cavaliers,112.5,106.9,5.6,95.6,116.5,110.7,5.8,-0.98,-5.9,4.82,12.9,0.005,51,30,0.63,0.674,0.684,-0.044,Cleveland,Central
5,New York Knicks,115.8,112.8,3,96.9,117.8,114.7,3.1,0.04,-5.8,3.14,13,0.022,47,34,0.58,0.594,0.599,-0.014,New York,Atlantic
6,Brooklyn Nets,113.5,112.2,1.3,98.2,115.2,114,1.2,-0.1,3.4,1.1,15.3,0.037,45,36,0.556,0.531,0.543,0.025,Brooklyn,Atlantic
7,Miami Heat,109.3,109.8,-0.5,96.1,113,113.5,-0.5,-0.01,-4.6,-0.51,11.8,-0.074,43,38,0.531,0.483,0.484,0.048,Miami,Southeast
8,Atlanta Hawks,118.5,118.1,0.4,100.8,116.7,116.3,0.4,0.5,10,0.9,13,-0.024,41,40,0.506,0.512,0.513,-0.006,Atlanta,Southeast
9,Toronto Raptors,112.8,111.5,1.3,97,115.5,114.1,1.4,-0.33,1.3,1.07,12.5,-0.12,40,41,0.494,0.545,0.543,-0.051,Toronto,Atlantic
10,Chicago Bulls,113.2,112.2,1,98.5,113.6,112.6,1,0.23,-10,1.23,14.9,-0.01,39,42,0.481,0.527,0.533,-0.046,Chicago,Central
11,Indiana Pacers,113.2,114.4,-1.2,98.5,114.5,115.7,-1.2,0.34,-11.7,-0.86,13.3,0.034,35,46,0.432,0.464,0.46,-0.032,Indianapolis,Central
12,Washington Wizards,116,119.3,-3.3,100.8,114.6,117.8,-3.2,0.06,4.6,-3.14,10.8,-0.029,34,47,0.42,0.384,0.391,0.036,Washington,Southeast
13,Orlando Magic,111.4,113.9,-2.5,99.2,111.7,114.2,-2.5,1.01,1,-1.49,12.1,-0.013,34,47,0.42,0.418,0.418,0.002,Orlando,Southeast
14,Charlotte Hornets,111,117.5,-6.5,100.8,109.3,115.7,-6.4,1.02,9,-5.38,13,-0.046,26,55,0.321,0.311,0.286,0.01,Charlotte,Southeast
15,Detroit Pistons,110.7,118.7,-8,99,111.1,119.1,-8,0.89,2.4,-7.11,12.3,-0.043,17,64,0.21,0.257,0.237,-0.047,Detroit,Central
16,Denver Nuggets,115.9,112.7,3.2,98.1,117.6,114.4,3.2,-0.59,2.5,2.61,14.3,0.056,52,29,0.642,0.588,0.605,0.054,Denver,Northwest
17,Memphis Grizzlies,117.1,113,4.1,101,115.3,111.2,4.1,-0.56,4.8,3.54,14.6,0.009,51,30,0.63,0.61,0.635,0.02,Memphis,Southwest
18,Sacramento Kings,121.1,118.2,2.9,100.3,119.8,116.9,2.9,-0.62,9.8,2.28,13.4,0.008,48,33,0.593,0.586,0.595,0.007,Sacramento,Pacific
19,Phoenix Suns,113.6,111.5,2.1,98.1,115.2,113,2.2,0.36,-1.3,2.56,15.3,0,45,36,0.556,0.557,0.569,-0.001,Phoenix,Pacific
20,LA Clippers,113.5,113.1,0.4,97.8,115.1,114.7,0.4,0.05,5.2,0.45,13.6,0.027,43,38,0.531,0.512,0.513,0.019,Los Angeles,Pacific
21,Golden State Warriors,118.5,117.3,1.2,101.6,116.1,115,1.1,0.43,-2.4,1.53,14.5,0.062,43,38,0.531,0.53,0.54,0.001,San Francisco,Pacific
22,Los Angeles Lakers,117,116.6,0.4,101.2,114.4,114,0.4,0.37,-2.7,0.77,11.3,0.024,42,39,0.519,0.514,0.513,0.005,Los Angeles,Pacific
23,New Orleans Pelicans,114.4,112.5,1.9,99,114.6,112.6,2,-0.14,0.8,1.86,14.8,0.003,42,39,0.519,0.554,0.563,-0.035,New Orleans,Southwest
